price,age,rating,state
134055,28,1,IL
78189,40,1,ND
146995,8,1,IN
114660,2,1,KS
144153,62,1,OH
94585,19,1,ND
83022,7,1,MO
117697,59,1,SD
119429,36,1,IA
107359,62,1,MO
146048,22,1,SD
83747,57,1,KS
145410,67,1,MN
135872,20,1,MN
143644,51,1,MN
80802,13,1,MI
98048,60,1,NE
82751,18,1,ND
149932,60,1,IA
83969,23,1,IA
120507,30,1,IN
87785,1,1,OH
109809,75,1,MO
111303,62,1,IL
83551,4,1,OH
86998,1,1,ND
134770,50,1,OH
80031,68,1,OH
108670,69,1,IA
134273,41,1,MO
141980,49,1,MN
136194,57,1,KS
127514,73,1,SD
139027,57,1,MN
116449,44,1,MO
93549,62,1,OH
134288,46,1,KS
124644,53,1,MN
125008,38,1,IL
91662,64,1,MN
100047,67,1,MN
115692,52,1,MI
81773,41,1,SD
128345,68,1,OH
122703,50,1,MN
78253,46,1,MI
141035,62,1,MI
141602,38,1,MI
147705,67,1,MI
132381,35,1,MI
121810,47,1,IN
88081,65,1,MN
91853,57,1,MI
102805,47,1,ND
149347,36,1,MO
129063,48,1,MN
85887,53,1,KS
133003,44,1,IL
101881,65,1,ND
138491,64,1,MO
80342,65,1,MN
138197,41,1,IL
114022,75,1,MI
134513,38,1,MN
113343,37,1,IA
87617,61,1,MN
97230,40,1,NE
162445,40,2,IL
215014,41,2,ND
215254,22,2,MI
212545,24,2,ND
169141,13,2,KS
126789,29,2,IL
203471,14,2,SD
156835,41,2,MO
190395,5,2,OH
156250,41,2,OH
208487,19,2,MN
183667,44,2,OH
151430,36,2,IN
128452,21,2,MI
159209,8,2,IA
181245,34,2,SD
132549,36,2,OH
145760,39,2,MI
222028,41,2,KS
155975,23,2,MN
136010,42,2,NE
172758,27,2,NE
170833,33,2,MN
153338,17,2,SD
203065,19,2,SD
203350,34,2,OH
146230,43,2,ND
132436,35,2,MN
185050,13,2,MI
125230,8,2,ND
179520,62,2,IL
202368,50,2,ND
158118,48,2,ND
182310,41,2,SD
195383,63,2,IN
148724,40,2,MO
137176,61,2,SD
206642,52,2,MO
217183,65,2,ND
214481,44,2,OH
154129,40,2,SD
157510,66,2,OH
186716,69,2,SD
154424,46,2,SD
131090,54,2,MN
156240,44,2,KS
137261,48,2,OH
215007,66,2,OH
182187,57,2,MN
192352,56,2,OH
159180,42,2,NE
202685,43,2,IL
127474,62,2,SD
203860,48,2,IA
194771,40,2,KS
167001,45,2,NE
174440,48,2,ND
194693,62,2,OH
187151,65,2,MI
187945,54,2,MI
224817,61,2,SD
161391,63,2,IL
167041,59,2,ND
215709,68,2,ND
188821,51,2,ND
218024,51,2,KS
152039,67,2,ND
173840,70,2,ND
219405,43,2,OH
194162,62,2,NE
185017,68,2,MN
149047,66,2,KS
191064,48,2,MN
218616,54,2,NE
211020,62,2,ND
173681,60,2,MN
216687,48,2,MI
218178,42,2,OH
188335,48,2,NE
213084,65,2,IA
129681,67,2,IN
189499,67,2,MN
182642,66,2,IL
161445,65,2,IA
126251,70,2,MO
152276,55,2,IL
170291,63,2,KS
205214,65,2,MI
184029,45,2,OH
134785,67,2,SD
179014,49,2,MN
136427,49,2,OH
206971,21,3,MO
283448,27,3,IN
286410,20,3,MN
335804,35,3,IN
276043,10,3,KS
310309,20,3,IN
297982,32,3,ND
346780,22,3,MO
341707,21,3,SD
262829,32,3,SD
273883,39,3,MO
282377,23,3,SD
310812,40,3,KS
324718,31,3,ND
269533,6,3,KS
280876,37,3,ND
249365,25,3,MI
204544,15,3,MN
341818,23,3,IA
261564,27,3,MO
206026,27,3,IL
215935,24,3,IN
282804,33,3,IA
229614,15,3,IA
222154,8,3,KS
280864,18,3,IN
224754,28,3,IL
226665,6,3,MN
290071,36,3,KS
221898,25,3,ND
271610,33,3,NE
331976,6,3,OH
302144,10,3,MN
348338,38,3,SD
305829,30,3,IA
243899,6,3,MN
345474,38,3,IA
217435,36,3,MN
230571,35,3,IL
249123,12,3,IL
232923,5,3,ND
287820,25,3,ND
263662,9,3,KS
200570,9,3,MN
305825,11,3,ND
268713,13,3,IN
332516,17,3,IA
242494,9,3,MN
339504,10,3,SD
339729,40,3,IA
294437,35,3,KS
244326,28,3,IL
207419,38,3,IL
298884,20,3,ND
323253,39,3,IA
244003,26,3,SD
305740,17,3,SD
302163,21,3,IA
342225,18,3,MN
345990,24,3,NE
325137,14,3,MO
247167,29,3,IL
241328,12,3,MN
315002,33,3,MN
333909,23,3,NE
315013,31,3,OH
249359,6,3,OH
282107,26,3,MI
200684,10,3,SD
314803,5,3,MN
260717,12,3,MO
328682,9,3,OH
206604,7,3,MO
246235,18,3,IL
241309,9,3,MN
288080,18,3,IA
215589,33,3,IN
262410,31,3,NE
304284,40,3,MN
302160,31,3,NE
243232,20,3,MO
276039,18,3,IN
242427,22,3,IL
204249,12,3,KS
283373,19,3,ND
268995,26,3,NE
327713,32,3,IN
212258,36,3,OH
325362,30,3,IL
288531,9,3,MI
233183,13,3,ND
321323,10,3,MI
223518,19,3,ND
335937,16,3,SD
208899,12,3,KS
349526,25,3,ND
316272,33,3,SD
279698,37,3,ND
263718,29,3,IN
257707,31,3,SD
301167,19,3,IN
244380,25,3,NE
214236,36,3,IL
252828,32,3,IA
228568,35,3,SD
241159,18,3,IL
226010,30,3,IN
334207,26,3,OH
246476,38,3,MN
239537,28,3,IL
300027,29,3,MN
345246,6,3,ND
205664,29,3,IN
281651,35,3,NE
323342,28,3,MI
305865,37,3,SD
247529,25,3,MO
319550,6,3,MN
225483,22,3,MI
303758,20,3,ND
338021,23,3,IL
271567,19,3,NE
220175,20,3,IN
283069,34,3,ND
251534,7,3,IN
220516,32,3,SD
210351,40,3,MN
210956,17,3,OH
217668,22,3,OH
267871,29,3,SD
317454,26,3,MO
261579,18,3,IL
243434,11,3,MO
208293,21,3,IA
373338,15,4,SD
484499,17,4,MI
343670,26,4,MN
364794,44,4,KS
466932,47,4,MI
482097,33,4,MO
491084,42,4,SD
394223,37,4,ND
453958,50,4,IN
354096,44,4,OH
513388,34,4,KS
334854,47,4,MN
337105,40,4,NE
436353,39,4,MN
469721,16,4,OH
514518,21,4,IN
494442,11,4,IN
300385,17,4,MI
388820,46,4,SD
333980,19,4,IN
309607,47,4,IN
515097,49,4,NE
405734,27,4,NE
303623,39,4,OH
515867,32,4,NE
320015,34,4,ND
521403,34,4,MO
456767,15,4,IN
516365,27,4,OH
341026,35,4,MN
451109,49,4,IA
519214,17,4,MO
354147,26,4,MN
363934,30,4,MN
450300,45,4,IA
337978,32,4,IA
540497,35,4,MI
517044,16,4,OH
429782,44,4,IN
513757,27,4,ND
380944,21,4,MN
423621,20,4,SD
377449,32,4,IL
460329,17,4,ND
383888,20,4,MN
516103,16,4,SD
307378,30,4,IL
390571,43,4,MO
354412,11,4,MN
367140,25,4,KS
301634,16,4,IN
530188,40,4,KS
453777,23,4,KS
344826,39,4,IA
500261,41,4,KS
433253,13,4,IN
342841,10,4,MI
493158,30,4,MN
537374,49,4,KS
436143,38,4,SD
323954,43,4,IL
540738,49,4,IA
431079,36,4,KS
341498,26,4,IA
372161,28,4,MI
526099,18,4,MO
484005,37,4,SD
371245,34,4,NE
495972,18,4,NE
401410,47,4,KS
506508,22,4,IL
504006,29,4,NE
450711,19,4,MN
530559,44,4,IL
464746,31,4,MN
319986,24,4,OH
341296,30,4,MO
319774,10,4,IL
377682,43,4,MI
431141,18,4,MO
336310,28,4,NE
500908,14,4,MN
422062,47,4,SD
455098,15,4,MN
433765,39,4,MO
407666,10,4,SD
397298,24,4,IA
316732,15,4,IA
402146,20,4,MI
464565,27,4,MI
535823,30,4,MN
497333,11,4,IN
484223,34,4,SD
337308,22,4,NE
398073,50,4,KS
511939,32,4,MI
405381,19,4,KS
480727,14,4,MI
398155,26,4,MO
547730,41,4,MI
606779,22,5,MN
707856,6,5,MN
621248,8,5,SD
744812,19,5,SD
680445,10,5,MI
463508,14,5,SD
577800,17,5,MN
470679,18,5,MN
747364,5,5,IL
636975,22,5,IN
593774,17,5,IN
685325,19,5,KS
